Day,Time,Temperatura,Precipitazioni,Wind
01/05/2025,1:00,11.8˚C,absent,weak
01/05/2025,2:00,10.9˚C,absent,weak
01/05/2025,3:00,10.2˚C,absent,weak
01/05/2025,4:00,9.6˚C,absent,weak
01/05/2025,5:00,9˚C,absent,weak
01/05/2025,6:00,8.7˚C,absent,weak
01/05/2025,7:00,10.8˚C,absent,weak
01/05/2025,8:00,13.1˚C,absent,weak
01/05/2025,9:00,15.9˚C,absent,weak
01/05/2025,10:00,18.1˚C,absent,weak
01/05/2025,11:00,19.9˚C,absent,weak
01/05/2025,12:00,21.4˚C,absent,weak
01/05/2025,13:00,22.5˚C,absent,weak
01/05/2025,14:00,23.4˚C,absent,weak
01/05/2025,15:00,23.9˚C,absent,weak
01/05/2025,16:00,24.2˚C,absent,weak
01/05/2025,17:00,24.2˚C,absent,weak
01/05/2025,18:00,23.9˚C,absent,weak
01/05/2025,19:00,23.2˚C,absent,weak
01/05/2025,20:00,20.6˚C,absent,weak
01/05/2025,21:00,18˚C,absent,weak
01/05/2025,22:00,16.6˚C,absent,moderate
01/05/2025,23:00,15.4˚C,absent,moderate
01/05/2025,24:00,14.4˚C,absent,moderate
01/05/2025,1:00,13.5˚C,absent,moderate
01/05/2025,2:00,12.8˚C,absent,moderate
02/05/2025,0:00,14.4˚C,absent,moderate
02/05/2025,1:00,13.5˚C,absent,moderate
02/05/2025,2:00,12.8˚C,absent,moderate
02/05/2025,3:00,12.2˚C,absent,moderate
02/05/2025,4:00,11.7˚C,absent,moderate
02/05/2025,5:00,11.4˚C,absent,moderate
02/05/2025,6:00,11.4˚C,absent,moderate
02/05/2025,7:00,13.2˚C,absent,moderate
02/05/2025,8:00,16.1˚C,absent,moderate
02/05/2025,9:00,19˚C,absent,moderate
02/05/2025,10:00,21.7˚C,absent,moderate
02/05/2025,11:00,24˚C,absent,moderate
02/05/2025,12:00,25.2˚C,absent,moderate
02/05/2025,13:00,25.8˚C,absent,moderate
02/05/2025,14:00,26.5˚C,absent,moderate
02/05/2025,15:00,27.1˚C,absent,moderate
02/05/2025,16:00,27.2˚C,absent,moderate
02/05/2025,17:00,26.8˚C,absent,moderate
02/05/2025,18:00,25˚C,mm,moderate
02/05/2025,19:00,22.5˚C,mm,moderate
02/05/2025,20:00,21.2˚C,mm,moderate
02/05/2025,21:00,19.8˚C,absent,weak
02/05/2025,22:00,19˚C,absent,weak
02/05/2025,23:00,18.3˚C,absent,weak
02/05/2025,24:00,17.4˚C,absent,moderate
02/05/2025,1:00,16.2˚C,absent,moderate
02/05/2025,2:00,14.5˚C,absent,moderate
03/05/2025,2:00,14.5˚C,absent,moderate
03/05/2025,5:00,10.7˚C,absent,moderate
03/05/2025,8:00,11.4˚C,absent,moderate
03/05/2025,11:00,15.4˚C,absent,moderate
03/05/2025,14:00,18.6˚C,absent,moderate
03/05/2025,17:00,19.3˚C,absent,moderate
03/05/2025,20:00,16.5˚C,absent,weak
03/05/2025,23:00,12.9˚C,absent,weak
03/05/2025,2:00,10.9˚C,mm,weak
04/05/2025,2:00,10.9˚C,mm,weak
04/05/2025,5:00,9.5˚C,mm,moderate
04/05/2025,8:00,9.1˚C,mm,moderate
04/05/2025,11:00,12.2˚C,absent,moderate
04/05/2025,14:00,15.3˚C,absent,moderate
04/05/2025,17:00,15.2˚C,absent,moderate
04/05/2025,20:00,13.6˚C,absent,moderate
04/05/2025,23:00,11.8˚C,absent,weak
04/05/2025,2:00,10.5˚C,absent,weak
05/05/2025,2:00,10.5˚C,absent,weak
05/05/2025,5:00,9.5˚C,absent,moderate
05/05/2025,8:00,10.6˚C,absent,moderate
05/05/2025,11:00,13.1˚C,absent,moderate
05/05/2025,14:00,14.8˚C,absent,moderate
05/05/2025,17:00,15˚C,absent,moderate
05/05/2025,20:00,13.4˚C,absent,moderate
05/05/2025,23:00,9.6˚C,absent,moderate
05/05/2025,2:00,7.2˚C,absent,moderate
06/03/2026,2:00,7.2˚C,absent,moderate
06/03/2026,5:00,6.2˚C,absent,weak
06/03/2026,8:00,8.6˚C,absent,weak
06/03/2026,11:00,12˚C,absent,weak
06/03/2026,14:00,14.7˚C,absent,weak
06/03/2026,17:00,15.4˚C,absent,weak
06/03/2026,20:00,13.5˚C,absent,weak
06/03/2026,23:00,9˚C,absent,weak
06/03/2026,2:00,5.7˚C,absent,weak
07/05/2025,2:00,5.7˚C,absent,weak
07/05/2025,5:00,3.4˚C,absent,weak
07/05/2025,8:00,7.7˚C,absent,weak
07/05/2025,11:00,13.9˚C,absent,moderate
07/05/2025,14:00,16.7˚C,absent,moderate
07/05/2025,17:00,17.1˚C,absent,moderate
07/05/2025,20:00,14˚C,absent,moderate
07/05/2025,23:00,8.6˚C,absent,moderate
07/05/2025,2:00,5.2˚C,absent,moderate
