Day,Time,Temperatura,Precipitazioni,Wind
19/05/2025,20:00,19.6˚C,absent,weak
19/05/2025,23:00,16.5˚C,absent,weak
19/05/2025,2:00,14.4˚C,absent,weak
20/03/2026,0:00,15.5˚C,absent,weak
20/03/2026,1:00,14.4˚C,absent,weak
20/03/2026,2:00,14.4˚C,absent,weak
20/03/2026,3:00,11.1˚C,absent,weak
20/03/2026,4:00,11.7˚C,absent,calm
20/03/2026,5:00,11.8˚C,absent,weak
20/03/2026,6:00,11.9˚C,absent,calm
20/03/2026,7:00,12˚C,mm,calm
20/03/2026,8:00,12.7˚C,absent,weak
20/03/2026,9:00,13.6˚C,absent,calm
20/03/2026,10:00,14.9˚C,absent,calm
20/03/2026,11:00,16.5˚C,absent,weak
20/03/2026,12:00,17.2˚C,absent,weak
20/03/2026,13:00,18˚C,absent,calm
20/03/2026,14:00,18.9˚C,absent,calm
20/03/2026,15:00,19˚C,absent,weak
20/03/2026,16:00,19.8˚C,absent,weak
20/03/2026,17:00,20.8˚C,absent,weak
20/03/2026,18:00,20.2˚C,absent,moderate
20/03/2026,19:00,19.1˚C,absent,weak
20/03/2026,20:00,18.1˚C,absent,weak
20/03/2026,21:00,17.1˚C,absent,weak
20/03/2026,22:00,16.6˚C,absent,weak
20/03/2026,23:00,16.3˚C,absent,weak
20/03/2026,24:00,16.1˚C,absent,calm
20/03/2026,1:00,15.7˚C,absent,calm
20/03/2026,2:00,15.3˚C,absent,weak
21/05/2025,2:00,15.3˚C,absent,weak
21/05/2025,5:00,12.6˚C,absent,weak
21/05/2025,8:00,14.4˚C,absent,calm
21/05/2025,11:00,16˚C,absent,weak
21/05/2025,14:00,18.5˚C,absent,weak
21/05/2025,17:00,20.3˚C,absent,weak
21/05/2025,20:00,17.4˚C,mm,weak
21/05/2025,23:00,15.4˚C,absent,weak
21/05/2025,2:00,14.3˚C,absent,weak
22/05/2025,2:00,14.3˚C,absent,weak
22/05/2025,5:00,12.8˚C,absent,calm
22/05/2025,8:00,14.6˚C,absent,calm
22/05/2025,11:00,16.1˚C,absent,weak
22/05/2025,14:00,16.2˚C,mm,weak
22/05/2025,17:00,18.1˚C,absent,weak
22/05/2025,20:00,16.2˚C,mm,weak
22/05/2025,23:00,13˚C,mm,weak
22/05/2025,2:00,11.5˚C,mm,weak
23/05/2025,2:00,11.5˚C,mm,weak
23/05/2025,5:00,11.2˚C,absent,weak
23/05/2025,8:00,12.1˚C,absent,calm
23/05/2025,11:00,13.1˚C,absent,weak
23/05/2025,14:00,14.3˚C,absent,weak
23/05/2025,17:00,15.4˚C,absent,weak
23/05/2025,20:00,14.6˚C,absent,weak
23/05/2025,23:00,12.4˚C,absent,weak
23/05/2025,2:00,9.9˚C,absent,weak
24/05/2025,2:00,9.9˚C,absent,weak
24/05/2025,5:00,8.8˚C,absent,weak
24/05/2025,8:00,13.1˚C,absent,weak
24/05/2025,11:00,16.9˚C,absent,moderate
24/05/2025,14:00,17.7˚C,absent,moderate
24/05/2025,17:00,17.8˚C,absent,weak
24/05/2025,20:00,16.1˚C,absent,weak
24/05/2025,23:00,13.8˚C,absent,weak
24/05/2025,2:00,12.8˚C,absent,weak
25/05/2025,2:00,12.8˚C,absent,weak
25/05/2025,5:00,8.8˚C,absent,calm
25/05/2025,8:00,13.1˚C,absent,calm
25/05/2025,11:00,19.4˚C,absent,moderate
25/05/2025,14:00,21.1˚C,absent,weak
25/05/2025,17:00,21.1˚C,absent,weak
25/05/2025,20:00,19.4˚C,absent,weak
25/05/2025,23:00,15.8˚C,absent,weak
25/05/2025,2:00,14.5˚C,absent,weak
25/05/2025,5:00,10.3˚C,absent,weak
